,F1,F6,F7,F9
ARO,0.010909498364269283,0.42063492063492064,0.007936507936507936,0.15079365079365079
PSO,0.007936507936507936,0.5476190476190477,0.007936507936507936,1.0
GWO,0.007936507936507936,0.007936507936507936,0.007936507936507936,0.007936507936507936
WOA,0.007936507936507936,0.8412698412698413,0.007936507936507936,0.015873015873015872
DE,0.007936507936507936,0.6904761904761905,0.09523809523809523,0.09523809523809523
SMA,0.007936507936507936,0.05555555555555555,0.007936507936507936,0.09523809523809523
HHO,0.007936507936507936,0.5476190476190477,0.007936507936507936,0.031746031746031744
AO,0.007936507936507936,0.007936507936507936,0.007936507936507936,0.007936507936507936
