,F1,F6,F7,F9,F14
ARO,0.010909498364269283,0.5476190476190477,0.6904761904761905,0.42063492063492064,0.05555555555555555
PSO,0.6904761904761905,0.42063492063492064,0.15079365079365079,0.09523809523809523,0.007936507936507936
GWO,0.007936507936507936,0.007936507936507936,0.007936507936507936,0.007936507936507936,0.007936507936507936
WOA,0.007936507936507936,0.42063492063492064,0.007936507936507936,0.6904761904761905,0.015873015873015872
DE,0.015873015873015872,0.05555555555555555,0.05555555555555555,1.0,0.007936507936507936
SMA,0.007936507936507936,0.30952380952380953,0.007936507936507936,0.15079365079365079,0.007936507936507936
HHO,0.007936507936507936,0.42063492063492064,0.007936507936507936,0.42063492063492064,0.007936507936507936
AO,0.007936507936507936,0.15079365079365079,0.007936507936507936,0.007936507936507936,0.15079365079365079
