Function,Algorithm,Mean,Std,Rank
F1,GBFAO-v4,421.8383877600455,1.399958354528772,5
F1,GBFAO-v3,452.836137818681,6.723255870260609,7
F1,GBFAO-v2,424.2550150333594,2.6879651127598554,6
F1,GBFAO-v1,417.566574256665,3.1434112255157425e-06,2
F1,ARO,417.5665717207995,4.4030722917880405e-14,1
F1,PSO,1607.9292317318898,525.4806031077858,9
F1,GWO,10309.43287016673,1756.1158621351324,12
F1,WOA,588.69032450972,233.10282579566635,8
F1,DE,418.41371008184694,0.4455118730869463,4
F1,SMA,417.5729777153907,0.0036576107953285647,3
F1,HHO,9514.223076336379,1979.7163695866602,11
F1,AO,2292.809601306445,1413.7000009719372,10
F6,GBFAO-v4,1820.3358929221863,0.07451327803548782,9
F6,GBFAO-v3,1820.3492652739587,0.08816695296574212,10
F6,GBFAO-v2,1820.315530367427,0.09209098265899453,7
F6,GBFAO-v1,1820.2328895299427,0.15740671390129404,3
F6,ARO,1820.292011390855,0.05060630093589413,5
F6,PSO,1820.2999127378666,0.06661235578486462,6
F6,GWO,1821.1724103205474,0.1704451143295234,12
F6,WOA,1820.2655987370176,0.14703362950825527,4
F6,DE,1820.3628015304882,0.07937564459557087,11
F6,SMA,1820.1916667586556,0.08235115652817612,2
F6,HHO,1820.3281601674112,0.1518464237774514,8
F6,AO,1820.0274845113895,0.02995992602969523,1
F7,GBFAO-v4,2185.214324996896,14.817296450428818,6
F7,GBFAO-v3,2231.549215991658,37.21933972908146,7
F7,GBFAO-v2,2184.279969393114,15.514407681083945,5
F7,GBFAO-v1,2115.954643387366,5.918556837372149,1
F7,ARO,2117.9125851136073,10.733416885140896,2
F7,PSO,4088.8323039052534,1514.47752038956,10
F7,GWO,9688.189418490452,3372.949624169961,12
F7,WOA,2452.898976080706,350.59377591974214,8
F7,DE,2169.586466772262,7.089279128309596,4
F7,SMA,2133.6401655672908,14.056033157233069,3
F7,HHO,8398.503292817031,2494.9678834091997,11
F7,AO,3995.493533594034,369.24780052235724,9
F9,GBFAO-v4,2707.1755014599335,0.42896578254103496,5
F9,GBFAO-v3,2706.315146554223,0.9614263146217054,3
F9,GBFAO-v2,2706.729082173293,1.2354114039272692,4
F9,GBFAO-v1,2707.9189836501046,2.046615097793513,8
F9,ARO,2708.169034276218,1.3793562264538177,9
F9,PSO,2707.211415628676,0.7551839959241854,6
F9,GWO,2715.2607813050677,0.9190875648602117,12
F9,WOA,2709.0477971919913,1.1453978690620197,11
F9,DE,2707.823558174601,0.4350651075199145,7
F9,SMA,2706.0100918201233,1.2734557056073934,2
F9,HHO,2708.4886547163974,1.1188654778840663,10
F9,AO,2704.472141227276,0.669832578937919,1
