,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30
ARO,3.1902902592996364e-07,0.029117357466794114,0.8173591109195852,4.059504969174792e-14,0.1711796322291329,5.248759559976193e-08,0.07362347107245824,3.3212578999775744e-06,0.15456988337874852,0.6918139175147417,0.01597446229184156,0.237090608990298,0.002284490444107304,4.755208744382036e-07,2.001341476612848e-06,7.266301438527282e-05,7.066071930388932e-18,1.823754160408179e-14,3.583003426214866e-05,7.056876520004518e-16,0.12676571057376695,4.7329298425535994e-09,0.08173801652907554,0.0002763783842187432,1.0404203079608484e-05,5.608883267066229e-10,8.317099276685966e-06,1.721156738718211e-05,1.1444177157605616e-05,0.08669152494929237
PSO,7.066071930388932e-18,7.066071930388932e-18,7.066071930388932e-18,1.3656974767201454e-17,7.066071930388932e-18,6.470282283706042e-05,7.066071930388932e-18,7.066071930388932e-18,2.304399978697189e-08,8.107511423590498e-15,6.883476937420097e-18,8.08481971897097e-09,7.066071930388932e-18,7.066071930388932e-18,7.066071930388932e-18,1.8349280394476684e-15,7.066071930388932e-18,0.023536019025373063,7.066071930388932e-18,7.043793641444198e-18,7.066071930388932e-18,7.066071930388932e-18,1.6045477167791558e-16,7.066071930388932e-18,6.528048341167631e-14,7.066071930388932e-18,7.066071930388932e-18,1.0458003838248808e-13,7.066071930388932e-18,7.066071930388932e-18
GWO,7.066071930388932e-18,7.066071930388932e-18,7.066071930388932e-18,7.066071930388932e-18,7.066071930388932e-18,7.066071930388932e-18,7.066071930388932e-18,7.066071930388932e-18,7.066071930388932e-18,7.066071930388932e-18,7.066071930388932e-18,7.066071930388932e-18,7.066071930388932e-18,7.066071930388932e-18,7.066071930388932e-18,7.066071930388932e-18,7.066071930388932e-18,7.066071930388932e-18,7.066071930388932e-18,7.066071930388932e-18,7.066071930388932e-18,7.066071930388932e-18,7.066071930388932e-18,7.066071930388932e-18,7.066071930388932e-18,7.066071930388932e-18,7.066071930388932e-18,7.066071930388932e-18,7.066071930388932e-18,7.066071930388932e-18
WOA,1.6329567403278103e-17,7.066071930388932e-18,7.066071930388932e-18,7.066071930388932e-18,1.3382763636211845e-12,2.2930873584724625e-06,7.066071930388932e-18,0.03067892588235193,4.895451896352443e-13,7.066071930388932e-18,7.066071930388932e-18,1.1416972005613525e-17,2.3840194568143555e-14,1.4496003158260807e-17,7.066071930388932e-18,7.066071930388932e-18,7.066071930388932e-18,2.3316581267605334e-17,5.610873066589603e-10,7.056515932760645e-18,7.066071930388932e-18,4.729823738127923e-17,7.066071930388932e-18,7.066071930388932e-18,7.066071930388932e-18,1.1451644617928336e-11,7.968811575416596e-18,3.160759418379189e-08,0.1152015555225987,1.3618219252448992e-07
DE,7.066071930388932e-18,8.379115056201182e-16,1.3493221354195963e-16,4.248490872828466e-16,7.066071930388932e-18,4.628833215756323e-06,7.066071930388932e-18,7.066071930388932e-18,6.661166347638243e-05,1.839160279851742e-17,2.8105353822068588e-12,1.6690517146696482e-13,1.3493221354195963e-16,7.066071930388932e-18,7.066071930388932e-18,1.273491131997141e-16,0.6615620374415485,1.012931310865706e-17,7.066071930388932e-18,2.4223208610904946e-15,2.2916580858237437e-15,7.066071930388932e-18,7.066071930388932e-18,7.066071930388932e-18,1.8005651055483942e-16,1.3493221354195963e-16,7.066071930388932e-18,6.874752377189245e-08,7.066071930388932e-18,5.610873066589603e-10
SMA,7.066071930388932e-18,7.066071930388932e-18,0.00013962281497052487,4.628833215756323e-06,7.968811575416596e-18,1.1444177157605616e-05,7.066071930388932e-18,7.066071930388932e-18,2.304399978697189e-08,1.538585608066428e-17,7.066071930388932e-18,0.052305564424980765,1.2865905627264301e-17,7.066071930388932e-18,7.066071930388932e-18,0.9368107661077794,2.4223208610904946e-15,1.3935251186015864e-14,7.066071930388932e-18,3.5907923049739796e-12,7.066071930388932e-18,7.066071930388932e-18,7.968811575416596e-18,7.066071930388932e-18,0.0006857690910903665,7.066071930388932e-18,7.066071930388932e-18,1.728369677426905e-14,7.066071930388932e-18,1.951692822504706e-17
HHO,1.2018654293015066e-16,7.066071930388932e-18,7.066071930388932e-18,7.066071930388932e-18,7.066071930388932e-18,0.00017911112327371266,1.8005651055483942e-16,2.3435863558056906e-05,2.5603136916884453e-15,1.075413924874422e-17,7.066071930388932e-18,1.4496003158260807e-17,7.066071930388932e-18,7.968811575416596e-18,7.066071930388932e-18,7.066071930388932e-18,7.066071930388932e-18,2.0710137190375215e-17,7.066071930388932e-18,7.066071930388932e-18,5.97842066997381e-17,7.066071930388932e-18,1.075413924874422e-17,2.3798561269095254e-07,7.066071930388932e-18,7.066071930388932e-18,7.066071930388932e-18,7.678087430142371e-15,7.066071930388932e-18,7.066071930388932e-18
AO,2.4223208610904946e-15,7.066071930388932e-18,1.93991295470981e-15,7.066071930388932e-18,2.1679418796252717e-15,1.2865905627264301e-17,1.3493221354195963e-16,1.3493221354195963e-16,7.550958883657918e-17,7.968811575416596e-18,7.066071930388932e-18,4.206603848268315e-15,4.959581969364551e-15,2.706040860848151e-15,7.066071930388932e-18,8.461955518444686e-18,7.066071930388932e-18,4.758016657820594e-14,5.0161397888246e-14,7.066071930388932e-18,7.066071930388932e-18,1.3883465495864554e-15,7.066071930388932e-18,7.066071930388932e-18,7.066071930388932e-18,1.8508119437323456e-13,2.9513375530392457e-14,5.63873447647335e-17,5.896623753821726e-07,8.590963721481658e-12
