,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10
ARO,0.26880805459724333,0.49010689117131667,0.08537844633385766,0.3001338607632563,0.569532503257159,0.17553368351683196,0.05397651146510376,7.550949410141685e-06,0.49010689117131667,0.7365697580305639
PSO,9.388247011432942e-10,7.416086074057983e-06,0.005765140087201428,0.16380658244991286,9.324250349833392e-08,0.0100285966605008,3.4596557937577733e-14,7.54145402854808e-06,7.416086074057983e-06,0.1670589045629559
GWO,6.877260979554943e-18,0.01567373159159849,0.03828433283349625,7.066071930388932e-18,7.066071930388932e-18,7.066071930388932e-18,7.066071930388932e-18,7.066071930388932e-18,1.3971334146526637e-06,1.3493221354195963e-16
WOA,1.1878077329452498e-07,0.0005621184145797106,1.3493221354195963e-16,4.6910544220770655e-09,7.066071930388932e-18,2.784421099071257e-17,8.560551768086544e-15,1.2732121587903367e-12,1.3493221354195963e-16,3.51315581481272e-05
DE,3.759146227961065e-09,0.010003997314161994,1.6384936764376345e-18,0.0026798445953055477,1.7576248789384508e-13,1.28659056272643e-17,2.1162998168351077e-10,6.800130181787264e-11,0.3001338607632563,4.2439387592496227e-10
SMA,1.6340517431326353e-06,0.01597921018720871,7.066071930388932e-18,0.40225589012941765,1.031375182765335e-09,4.6997050657760726e-11,4.70723008938213e-10,1.2252642246426568e-09,7.534338865838936e-06,0.023115901663117704
HHO,7.303853104921955e-18,0.005765140087201428,7.066071930388932e-18,0.005765140087201428,2.473860812223508e-17,2.331658126760535e-17,7.550958883657913e-17,1.3883465495864549e-15,4.645660864007006e-13,0.001902059740053476
AO,5.104893167599589e-06,0.1670589045629559,5.573834661994035e-10,0.001902059740053476,1.7253948722710822e-09,1.1416972005613523e-17,1.3702888481212723e-08,0.0416376401154535,4.650121801327341e-13,3.51315581481272e-05
