Problem,Algorithm,Mean,Std
Pressure Vessel Design,GBFAO-v4,5990.044005927462,192.3568585574669
Pressure Vessel Design,GBFAO-v3,6117.0580820123005,245.32653365258523
Pressure Vessel Design,GBFAO-v2,6363.079910744176,540.185137058869
Pressure Vessel Design,GBFAO-v1,5913.8919786103925,78.41083152893384
Pressure Vessel Design,ARO,6400.917837952693,330.3041478153212
Pressure Vessel Design,PSO,6457.945939877912,593.0264706746768
Pressure Vessel Design,GWO,14541.92998586274,4253.416711850018
Pressure Vessel Design,WOA,16143.967257767601,14307.633769120586
Pressure Vessel Design,DE,5870.225391746203,0.061125683989630857
Pressure Vessel Design,SMA,6695.751072659352,556.5037217292432
Pressure Vessel Design,HHO,7505.75588535856,2136.6875896578817
Pressure Vessel Design,AO,6241.821341860124,363.1998390800838
Tension/Compression Spring,GBFAO-v4,0.012945678643840275,0.00018106390114594988
Tension/Compression Spring,GBFAO-v3,0.012952694106726012,0.00024290843848798015
Tension/Compression Spring,GBFAO-v2,0.013005522815945886,0.00017217608647018067
Tension/Compression Spring,GBFAO-v1,0.012961607676010897,0.00023292831815852188
Tension/Compression Spring,ARO,0.013340587697641865,0.0014979295278605123
Tension/Compression Spring,PSO,0.01368635828988086,0.0013707784697483245
Tension/Compression Spring,GWO,208.09554295317625,624.2177639509932
Tension/Compression Spring,WOA,0.01420796160033925,0.0010731645630615205
Tension/Compression Spring,DE,0.012666236726356968,7.644433319563815e-07
Tension/Compression Spring,SMA,0.01396910520782002,0.0017000813064063792
Tension/Compression Spring,HHO,0.013892948270724903,0.0013302173447797604
Tension/Compression Spring,AO,0.013878407679857863,0.0010721944757257414
Welded Beam Design,GBFAO-v4,2.0616226771163433,0.21498578205493982
Welded Beam Design,GBFAO-v3,2.248476219653636,0.3005844338744862
Welded Beam Design,GBFAO-v2,2.090208895113185,0.04519326816746943
Welded Beam Design,GBFAO-v1,1.8696833158247876,0.009250966945790414
Welded Beam Design,ARO,2.0279621139070896,0.3038253184294668
Welded Beam Design,PSO,1.8810898661523094,0.0548617534092895
Welded Beam Design,GWO,536.2899453313084,1595.6613551345754
Welded Beam Design,WOA,3.4547580342311215,1.120163602717967
Welded Beam Design,DE,1.8624759327292146,0.0002516258003040846
Welded Beam Design,SMA,1.8782834550977547,0.01866609219010377
Welded Beam Design,HHO,2.6543805960947715,0.6257169886163282
Welded Beam Design,AO,2.116799381032677,0.24842120662787912
Speed Reducer,GBFAO-v4,2996.2038330226455,2.678760109549669
Speed Reducer,GBFAO-v3,3002.10692487515,6.18938918812412
Speed Reducer,GBFAO-v2,3004.1337289059193,3.6394105326147654
Speed Reducer,GBFAO-v1,2993.935919437102,0.07323565273920588
Speed Reducer,ARO,3001.941021522536,11.653151353584148
Speed Reducer,PSO,3035.0581243477077,53.613863325177974
Speed Reducer,GWO,52256.39568449893,70856.90296091085
Speed Reducer,WOA,3969.0133725890455,853.4263872214062
Speed Reducer,DE,2993.885935564435,0.013967032390755413
Speed Reducer,SMA,2996.50663580455,3.0439339919472537
Speed Reducer,HHO,3884.4400248174134,798.799026419684
Speed Reducer,AO,3010.2749793454504,11.686937009470137
Three-Bar Truss,GBFAO-v4,100.14079637186171,1.2710574864626037e-14
Three-Bar Truss,GBFAO-v3,100.14362351778982,0.00808145961136856
Three-Bar Truss,GBFAO-v2,100.14481250306376,0.006822879953770692
Three-Bar Truss,GBFAO-v1,100.14079637186171,1.1889654083092801e-14
Three-Bar Truss,ARO,100.24022881029074,0.0650938108050258
Three-Bar Truss,PSO,100.25443344435205,0.0568185362451743
Three-Bar Truss,GWO,372.7948475719252,560.1527680363284
Three-Bar Truss,WOA,102.34450670498748,4.200051111364163
Three-Bar Truss,DE,100.28284271247462,1.4210854715202004e-14
Three-Bar Truss,SMA,100.1407963743674,6.030098410242294e-09
Three-Bar Truss,HHO,100.14081183420842,4.637472815041402e-05
Three-Bar Truss,AO,100.16350274548896,0.04192247452264991
