,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
ARO,2.913240402874819e-14,0.2275094161203196,0.7318584650756261,1.6755948214544006e-11,0.4712761789820338,0.3396818555406652,0.7485418654676034,6.123374067960231e-10,1.519898948170649e-11,0.0004433730111054294,0.1302293714275852,0.08233792697332255
PSO,0.49206090249859724,7.045382738968392e-18,7.001016107193412e-18,5.612340122982148e-17,0.16064894403312135,2.3043999786971883e-08,1.727749705894273e-14,6.6856698221464446e-18,3.3327088764552916e-14,7.061292400536998e-18,1.194859525723614e-16,1.3620394792417737e-06
GWO,7.066071930388932e-18,7.066071930388932e-18,7.066071930388932e-18,7.066071930388932e-18,7.066071930388932e-18,7.066071930388932e-18,7.066071930388932e-18,7.066071930388932e-18,7.066071930388932e-18,7.066071930388932e-18,7.066071930388932e-18,7.066071930388932e-18
WOA,7.066071930388932e-18,7.066071930388932e-18,7.066071930388932e-18,0.07701664592968517,2.130221641984438e-07,0.36465152425376834,7.120034374960117e-11,2.6246129971949655e-17,7.066071930388932e-18,7.066071930388932e-18,7.066071930388932e-18,0.3125218274148045
DE,4.732969662164791e-20,1.3321554246958766e-18,4.370110736181636e-17,6.650972348911236e-18,3.082096596378511e-05,9.920783434864614e-12,2.6482067170112932e-05,2.31431802636867e-10,1.3321554246958766e-18,5.4964197482283344e-14,2.4696908444534354e-18,1.165837719003259e-06
SMA,7.066071930388932e-18,5.63873447647335e-17,0.006956270587891991,0.0001742538726537324,2.259861024091598e-14,4.49704162985352e-16,0.16690695885469464,3.176624659495826e-05,7.066071930388932e-18,2.7060408608481497e-15,1.2790355953888424e-09,1.1242516404275395e-09
HHO,7.066071930388932e-18,7.066071930388932e-18,7.066071930388932e-18,1.2640977196578976e-08,5.862006086045486e-10,0.0004799214751372957,7.066071930388932e-18,7.066071930388932e-18,7.066071930388932e-18,7.066071930388932e-18,7.066071930388932e-18,7.066071930388932e-18
AO,1.8146353012930113e-08,7.066071930388932e-18,7.066071930388932e-18,0.179969819280686,7.066071930388932e-18,3.5254110018065006e-17,4.2058326332939775e-17,4.486666614971874e-11,4.280334227522138e-14,1.8391602798517428e-17,8.461955518444686e-18,0.2775778280367308
